time	latitude	longitude	swh
1079616	32.5	31.0	NaN
1079616	32.5	31.25	NaN
1079616	32.5	31.5	NaN
1079616	32.5	31.75	NaN
1079616	32.5	32.0	NaN
1079616	32.5	32.25	NaN
1079616	32.5	32.5	NaN
1079616	32.5	32.75	NaN
1079616	32.5	33.0	NaN
1079616	32.5	33.25	NaN
1079616	32.5	33.5	NaN
1079616	32.5	33.75	NaN
1079616	32.5	34.0	NaN
1079616	32.5	34.25	NaN
1079616	32.5	34.5	NaN
1079616	32.5	34.75	NaN
1079616	32.5	35.0	NaN
1079616	32.25	26.0	NaN
1079616	32.25	26.25	NaN
1079616	32.25	26.5	NaN
1079616	32.25	26.75	NaN
1079616	32.25	27.0	NaN
1079616	32.25	27.25	NaN
1079616	32.25	27.5	NaN
1079616	32.25	27.75	NaN
1079616	32.25	28.0	NaN
1079616	32.25	28.25	NaN
1079616	32.25	28.5	NaN
1079616	32.25	28.75	NaN
1079616	32.25	29.0	NaN
1079616	32.25	29.25	NaN
1079616	32.25	29.5	NaN
1079616	32.25	29.75	NaN
1079616	32.25	30.0	NaN
1079616	32.25	30.25	NaN
1079616	32.25	30.5	NaN
1079616	32.25	30.75	NaN
1079616	32.25	31.0	NaN
1079616	32.25	31.25	NaN
1079616	32.25	31.5	NaN
1079616	32.25	31.75	NaN
1079616	32.25	32.0	NaN
1079616	32.25	32.25	NaN
1079616	32.25	32.5	NaN
1079616	32.25	32.75	NaN
1079616	32.25	33.0	NaN
1079616	32.25	33.25	NaN
1079616	32.25	33.5	NaN
1079616	32.25	33.75	NaN
1079616	32.25	34.0	NaN
1079616	32.25	34.25	NaN
1079616	32.25	34.5	NaN
1079616	32.25	34.75	NaN
1079616	32.25	35.0	NaN
1079616	32.0	26.0	NaN
1079616	32.0	26.25	NaN
1079616	32.0	26.5	NaN
1079616	32.0	26.75	NaN
1079616	32.0	27.0	NaN
1079616	32.0	27.25	NaN
1079616	32.0	27.5	NaN
1079616	32.0	27.75	NaN
1079616	32.0	28.0	NaN
1079616	32.0	28.25	NaN
1079616	32.0	28.5	NaN
1079616	32.0	28.75	NaN
1079616	32.0	29.0	NaN
1079616	32.0	29.25	NaN
1079616	32.0	29.5	NaN
1079616	32.0	29.75	NaN
1079616	32.0	30.0	NaN
1079616	32.0	30.25	NaN
1079616	32.0	30.5	NaN
1079616	32.0	30.75	NaN
1079616	32.0	31.0	NaN
1079616	32.0	31.25	NaN
1079616	32.0	31.5	NaN
1079616	32.0	31.75	NaN
1079616	32.0	32.0	NaN
1079616	32.0	32.25	NaN
1079616	32.0	32.5	NaN
1079616	32.0	32.75	NaN
1079616	32.0	33.0	NaN
1079616	32.0	33.25	NaN
1079616	32.0	33.5	NaN
1079616	32.0	33.75	NaN
1079616	32.0	34.0	NaN
1079616	32.0	34.25	NaN
1079616	32.0	34.5	NaN
1079616	32.0	34.75	NaN
1079616	32.0	35.0	NaN
1079616	31.75	26.0	NaN
1079616	31.75	26.25	NaN
1079616	31.75	26.5	NaN
1079616	31.75	26.75	NaN
1079616	31.75	27.0	NaN
1079616	31.75	27.25	NaN
1079616	31.75	27.5	NaN
1079616	31.75	27.75	NaN
1079616	31.75	28.0	NaN
1079616	31.75	28.25	NaN
1079616	31.75	28.5	NaN
1079616	31.75	28.75	NaN
1079616	31.75	29.0	NaN
1079616	31.75	29.25	NaN
1079616	31.75	29.5	NaN
1079616	31.75	29.75	NaN
1079616	31.75	30.0	NaN
1079616	31.75	30.25	NaN
1079616	31.75	30.5	NaN
1079616	31.75	30.75	NaN
1079616	31.75	31.0	NaN
1079616	31.75	31.25	NaN
1079616	31.75	31.5	NaN
1079616	31.75	31.75	NaN
1079616	31.75	32.0	NaN
1079616	31.75	32.25	NaN
1079616	31.75	32.5	NaN
1079616	31.75	32.75	NaN
1079616	31.75	33.0	NaN
1079616	31.75	33.25	NaN
1079616	31.75	33.5	NaN
1079616	31.75	33.75	NaN
1079616	31.75	34.0	NaN
1079616	31.75	34.25	NaN
1079616	31.75	34.5	NaN
1079616	31.75	34.75	NaN
1079616	31.75	35.0	NaN
1079616	31.5	26.0	NaN
1079616	31.5	26.25	NaN
1079616	31.5	26.5	NaN
1079616	31.5	26.75	NaN
1079616	31.5	27.0	NaN
1079616	31.5	27.25	NaN
1079616	31.5	27.5	NaN
1079616	31.5	27.75	NaN
1079616	31.5	28.0	NaN
1079616	31.5	28.25	NaN
1079616	31.5	28.5	NaN
1079616	31.5	28.75	NaN
1079616	31.5	29.0	NaN
1079616	31.5	29.25	NaN
1079616	31.5	29.5	NaN
1079616	31.5	29.75	NaN
1079616	31.5	30.0	NaN
1079616	31.5	30.25	NaN
1079616	31.5	30.5	NaN
1079616	31.5	30.75	NaN
1079616	31.5	31.0	NaN
1079616	31.5	31.25	NaN
1079616	31.5	31.5	NaN
1079616	31.5	31.75	NaN
1079616	31.5	32.0	NaN
1079616	31.5	32.25	NaN
